"imno","filnamn","P_Acer","P_Aesculus","P_Brassicaceae","P_Centaurea.cyanus","P_Cytisus","P_Glechoma.hederacea","P_Laburnum","P_Lamium","P_Lonicera","P_Lupinus","P_Papaver","P_Phacelia","P_Pinaceae","P_Potentilla.group","P_Prunus.group","P_Prunus.groupB","P_Pulmonaria.group","P_Quercus","P_Rhododendron","P_Robinia","P_Salix","P_Sambucus","P_Symphytum","P_Taraxacum","P_Tilia","P_Trifolium.pratense","P_Trifolium.repens.group","P_Viola.arvensis.group","P_zzRaisins","n","S"
1002192,"BB_28_BoA3_R3 1002192",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,20,122,1.69354618385744
1002037,"BB_280_KaA1_R2 1002037",140,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,200,2.20270579529955
1002066,"BB_281_KrA3_R2 1002066",0,51,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,168,2.16322245666506
1002076,"BB_282_NaOA2_R2 1002076",0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,169,1.20997427490165
1001824,"BB_284_BrA1_R1 1001824",0,0,5,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,5,139,1.36138344308455
1002170,"BB_285_NaVA2_R2-2 1002170",0,0,0,0,0,0,0,11,26,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,172,2.52277644116704
1001921,"BB_286_NaOA3_R1 1001921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,163,0,0,0,0,0,0,0,3,168,1.16642516645806
1001869,"BB_288_JoA3_R1 1001869",82,0,0,0,0,0,0,10,0,0,0,0,2,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,35,188,3.56057014266877
1001845,"BB_289_BrA3_R1 1001845",0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,154,1.27167628503062
1002185,"BB_29_BoA1_R3 1002185",0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,168,1.45756926498109
1002211,"BB_290_RyNA2_R3 1002211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,114,186,1.94922470757554
1001896,"BB_291_KaA3_R1 1001896",0,0,0,0,0,0,0,156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,169,1.33917010040641
1001943,"BB_292_NaVA3_R1 1001943",0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,26,174,2.27642953930002
1001831,"BB_294_BrA2_R1 1001831",127,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,19,168,2.2463034952209
1002085,"BB_295_NaVA1_R2 1002085",0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,205,1.76176981398062
1002124,"BB_296_StMA3_R2 1002124",86,57,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,174,2.97085411527901
1002045,"BB_297_KaA3_R2 1002045",0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,178,1.28005411649163
1002084,"BB_298_NaOA3_R2 1002084",0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,201,1.32021713006586
1002069,"BB_299_NaOA1_R2 1002069",0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,166,1.3914487359304
1002191,"BB_3_BoA3_R3 1002191",0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,181,1.56686399272266
1002154,"BB_300_BrA2_R2-2 1002154",0,32,0,0,0,0,0,0,0,0,0,0,1,0,39,100,0,0,0,0,0,0,0,0,0,0,0,0,40,212,3.63727273693979
1002157,"BB_301_BrA3_R2-2 1002157",0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,142,1.24205871644735
1002046,"BB_302_KaA3_R2 1002046",0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,149,1.15823498430243
